[2026-07-23T20:12:45.711Z] GET https://hunter-cv.vercel.app/ → 200 (191ms, 3631B)
[2026-07-23T20:12:45.902Z] GET https://hunter-cv.vercel.app/headshot-standing.jpg → 200 (234ms, 111350B)
[2026-07-23T20:12:45.902Z] GET https://hunter-cv.vercel.app/fonts/space-grotesk-latin.woff2 → 200 (213ms, 22497B)
[2026-07-23T20:12:45.902Z] GET https://hunter-cv.vercel.app/fonts/dm-sans-latin.woff2 → 200 (269ms, 62724B)
[2026-07-23T20:12:45.902Z] GET https://hunter-cv.vercel.app/assets/index-CqLs3s0v.js → 200 (66ms, 22480B)
[2026-07-23T20:12:45.904Z] GET https://hunter-cv.vercel.app/assets/vendor-react-CCGwEYZL.js → 200 (302ms, 68557B)
[2026-07-23T20:12:45.905Z] GET https://hunter-cv.vercel.app/assets/vendor-router-C7lh2rE2.js → 200 (171ms, 14191B)
[2026-07-23T20:12:45.905Z] GET https://hunter-cv.vercel.app/assets/index-DkMKtPqm.css → 200 (204ms, 17085B)
[2026-07-23T20:12:46.282Z] GET https://hunter-cv.vercel.app/headshot-seated.jpg → pending (?ms, ?B)
[2026-07-23T20:12:46.282Z] GET https://hunter-cv.vercel.app/brain.png → pending (?ms, ?B)
[2026-07-23T20:12:46.282Z] GET https://hunter-cv.vercel.app/agent.png → pending (?ms, ?B)
[2026-07-23T20:12:46.282Z] GET https://hunter-cv.vercel.app/site.png → pending (?ms, ?B)
[2026-07-23T20:12:46.282Z] GET https://hunter-cv.vercel.app/family.jpg → 200 (237ms, ?B)
[2026-07-23T20:12:46.467Z] GET https://hunter-cv.vercel.app/grain.svg → 200 (2ms, 665B)
[2026-07-23T20:12:46.467Z] GET https://hunter-cv.vercel.app/fonts/clash-display-600.woff2 → pending (?ms, ?B)
[2026-07-23T20:12:46.467Z] GET https://hunter-cv.vercel.app/fonts/jetbrains-mono-latin.woff2 → pending (?ms, ?B)
[2026-07-23T20:12:46.467Z] GET https://hunter-cv.vercel.app/fonts/clash-display-700.woff2 → pending (?ms, ?B)
[2026-07-23T20:12:46.516Z] GET https://hunter-cv.vercel.app/_vercel/insights/script.js → pending (?ms, ?B)
[2026-07-23T20:12:46.516Z] GET https://cdn.simpleicons.org/claude → pending (?ms, ?B)
[2026-07-23T20:12:46.516Z] GET https://cdn.simpleicons.org/cursor → pending (?ms, ?B)
[2026-07-23T20:12:46.516Z] GET https://cdn.simpleicons.org/openai → pending (?ms, ?B)
[2026-07-23T20:12:46.516Z] GET https://cdn.simpleicons.org/anthropic → pending (?ms, ?B)
[2026-07-23T20:12:46.516Z] GET https://cdn.simpleicons.org/obsidian → pending (?ms, ?B)
[2026-07-23T20:12:46.518Z] GET https://cdn.simpleicons.org/postgresql → pending (?ms, ?B)
[2026-07-23T20:12:46.518Z] GET https://cdn.simpleicons.org/supabase → pending (?ms, ?B)
[2026-07-23T20:12:46.518Z] GET https://cdn.simpleicons.org/react → pending (?ms, ?B)
[2026-07-23T20:12:46.519Z] GET https://cdn.simpleicons.org/typescript → pending (?ms, ?B)
[2026-07-23T20:12:46.519Z] GET https://cdn.simpleicons.org/python → pending (?ms, ?B)
[2026-07-23T20:12:46.519Z] GET https://cdn.simpleicons.org/huggingface → pending (?ms, ?B)
[2026-07-23T20:12:46.519Z] GET https://cdn.simpleicons.org/vercel → pending (?ms, ?B)
[2026-07-23T20:12:46.519Z] GET https://cdn.simpleicons.org/zapier → pending (?ms, ?B)
[2026-07-23T20:12:46.519Z] GET https://cdn.simpleicons.org/n8n → pending (?ms, ?B)
